,ID,Species,Temperature Range
137,A0A0J6EJ48,Bacillus glycinifermentans,[55-60)
139,A0A0J6EJ48,Bacillus glycinifermentans,[55-60)
129,Q7X3S6,Bacillus licheniformis,[55-60)
126,Q7X3S6,Bacillus licheniformis,[55-60)
125,Q7X3S6,Bacillus licheniformis,[55-60)
123,Q7X3S6,Bacillus licheniformis,[55-60)
138,A0A0J6EJ48,Bacillus glycinifermentans,[55-60)
441,A5A6G0,Paenibacillus sp.,[55-60)
43,A0A0S2S8N1,Paenibacillus sp.,[55-60)
47,A0A0S2S8N1,Paenibacillus sp.,[55-60)
184,F8IJE7,Alicyclobacillus acidocaldarius,[55-60)
186,F8IJE7,Alicyclobacillus acidocaldarius,[55-60)
187,F8IJE7,Alicyclobacillus acidocaldarius,[55-60)
189,F8IJE7,Alicyclobacillus acidocaldarius,[55-60)
396,A0A3G8R7A8,Paenibacillus sp.,[55-60)
393,A0A3G8R7A8,Paenibacillus sp.,[55-60)
419,A0A5C8LQB2,Paenibacillus sp.,[55-60)
420,A0A5C8LQB2,Paenibacillus sp.,[55-60)
388,A0A3G8R7A8,Paenibacillus sp.,[55-60)
421,A0A6G4A6S7,Paenibacillus sp.,[55-60)
365,A0A1S2F5X9,Paenibacillus sp.,[55-60)
205,Q93R81,Bacillus sp.,[55-60)
52,A0A0S2S8Q2,Paenibacillus sp.,[55-60)
408,A0A4R2A013,Paenibacillus sp.,[55-60)
48,A0A0S2S8N1,Paenibacillus sp.,[55-60)
132,Q7X3S6,Bacillus licheniformis,[55-60)
482,A0A1D8GR37,Bacillus licheniformis,[55-60)
152,A0A2M8T350,Bacillus sp.,[55-60)
131,Q7X3S6,Bacillus licheniformis,[55-60)
127,Q7X3S6,Bacillus licheniformis,[55-60)
202,Q59232,Bacillus sp.,[55-60)
204,Q93R81,Bacillus sp.,[55-60)
60,A0A0A0PHP9,Bacillus licheniformis,[55-60)
113,D1L8C9,Bacillus pumilus,[55-60)
118,D1L8C9,Bacillus pumilus,[55-60)
117,D1L8C9,Bacillus pumilus,[55-60)
109,P29019,Bacillus sp.,[50-55)
194,Q59232,Bacillus sp.,[50-55)
175,A0A7Y8V0X1,Bacillus sp.,[50-55)
195,Q59232,Bacillus sp.,[50-55)
122,D1L8C9,Bacillus pumilus,[50-55)
471,A0A649ZV21,Bacillus sp.,[50-55)
50,A0A0S2S8Q2,Paenibacillus sp.,[50-55)
51,A0A0S2S8Q2,Paenibacillus sp.,[50-55)
427,A0A6G4A6S7,Paenibacillus sp.,[50-55)
392,A0A3G8R7A8,Paenibacillus sp.,[50-55)
62,A0A0A0PHP9,Bacillus licheniformis,[50-55)
24,A0A837XTL8,Bacillus atrophaeus,[50-55)
507,A2R1X8,Aspergillus niger,[50-55)
37,O66065,Fibrobacter succinogenes,[50-55)
188,F8IJE7,Alicyclobacillus acidocaldarius,[50-55)
